X-time;Y-g
13.775;0.071
13.8;0.0792
13.825;0.0509
13.85;0.0643
13.875;0.0947
13.9;0.0706
13.925;0.0688
13.95;0.0837
13.975;0.0846
14;0.0241
14.025;0.0455
14.05;0.0447
14.075;0.0266
14.1;0.0145
14.125;-7e-04
14.15;-0.0061
14.175;-0.0423
14.2;-0.0174
14.225;-0.0441
14.25;-0.0555
14.275;-0.099
14.3;-0.0992
14.325;-0.0473
14.35;-0.0586
14.375;-0.0889
14.4;-0.1048
14.425;-0.0939
14.45;-0.0666
14.475;-0.0567
14.5;-0.0343
14.525;-0.1076
14.55;0.0232
14.575;-0.0202
14.6;0.0096
14.625;-0.0025
14.65;0.0156
14.675;0.0518
14.7;0.0106
14.725;0.0659
14.75;0.0562
14.775;0.0771
14.8;0.0674
14.825;0.0473
14.85;0.0677
14.875;0.0884
14.9;0.0923
14.925;0.0277
14.95;0.098
14.975;0.0607
15;0.0579
15.025;0.056
15.05;0.0315
15.075;0.0312
15.1;0.0128
15.125;8e-04
15.15;-0.0151
15.175;-0.0166
15.2;-0.0102
15.225;-0.0742
15.25;-0.0861
15.275;-0.0543
15.3;-0.0435
15.325;-0.1224
15.35;-0.0745
15.375;-0.0922
15.4;-0.0921
15.425;-0.0691
15.45;-0.0573
15.475;-0.0922
15.5;-0.0602
15.525;-0.037
15.55;-0.0098
15.575;0.0047
15.6;-0.033
15.625;-0.0092
15.65;0.004
15.675;0.0815
15.7;0.054
15.725;0.0358
15.75;-0.0107
15.775;0.1102
15.8;0.0714
15.825;0.0839
15.85;0.0665
15.875;0.0861
15.9;0.0358
15.925;0.083
15.95;0.0839
15.975;0.0819
16;0.0594
16.025;0.0577
16.05;0.0147
16.075;0.0455
16.1;0.0181
16.125;-0.0028
16.15;-0.0045
16.175;-0.0263
16.2;-0.0226
16.225;-0.0686
16.25;-0.0569
16.275;-0.0633
16.3;-0.1007
16.325;-0.0983
16.35;-0.0834
16.375;-0.1101
16.4;-0.0832
16.425;-0.0285
16.45;-0.1048
16.475;-0.0684
16.5;-0.0782
16.525;-0.015
16.55;-0.0021
16.575;-0.0378
16.6;-0.0315
16.625;0.069
16.65;-0.0058
16.675;0.0365
16.7;0.0283
16.725;0.0732
16.75;0.055
16.775;0.0509
16.8;0.0625
16.825;0.0754
16.85;0.0691
16.875;0.0992
16.9;0.0629
16.925;0.0723
16.95;0.0606
16.975;0.0753
17;0.0783
17.025;0.0334
17.05;0.0278
17.075;0.0461
17.1;0.0177
17.125;-0.0305
17.15;0.0131
17.175;0.0013
17.2;-0.0668
17.225;-0.0547
17.25;-0.0537
17.275;-0.0844
17.3;-0.0837
17.325;-0.0754
17.35;-0.0573
17.375;-0.1075
17.4;-0.1098
17.425;-0.0838
17.45;-0.0654
17.475;-0.0643
17.5;-0.053
17.525;-0.016
17.55;-0.0412
17.575;-0.0322
17.6;-0.0034
17.625;0.044
17.65;-0.0053
17.675;0.0292
17.7;0.0535
17.725;0.0429
17.75;0.0611
17.775;0.0533
17.8;0.0693
17.825;0.1008
17.85;0.0534
17.875;0.0719
17.9;0.0714
17.925;0.078
17.95;0.0682
17.975;0.0985
18;0.0635
18.025;0.0073
18.05;0.0215
18.075;0.0604
18.1;0.0414
18.125;-0.0027
18.15;-0.0246
18.175;-0.0341
18.2;-0.0425
18.225;-0.058
18.25;-0.0268
18.275;-0.0937
18.3;-0.0868
18.325;-0.1028
18.35;-0.0735
18.375;-0.076
18.4;-0.1131
18.425;-0.0691
18.45;-0.0738
18.475;-0.0287
18.5;-0.1017
18.525;-0.0041
18.55;-0.0463
18.575;0.0064
18.6;-0.001
18.625;-8e-04
18.65;0.0127
18.675;0.0326
18.7;0.0303
18.725;0.0642
18.75;0.0705
18.775;0.0333
18.8;0.0663
18.825;0.1177
18.85;0.0544
18.875;0.0612
18.9;0.0916
18.925;0.0796
18.95;0.0523
18.975;0.0609
19;0.0649
19.025;0.055
19.05;0.0163
19.075;0.0567
19.1;0.0133
19.125;-0.0244
19.15;0.0064
19.175;-0.0131
19.2;-0.0484
19.225;-0.0563
19.25;-0.0619
19.275;-0.0765
19.3;-0.0638
19.325;-0.0966
19.35;-0.1144
19.375;-0.0782
19.4;-0.0807
19.425;-0.0595
19.45;-0.0742
19.475;-0.0831
19.5;-0.0314
19.525;-0.0408
19.55;-0.0104
19.575;-0.0409
19.6;-0.0104
19.625;-0.0056
19.65;0.031
19.675;0.0841
19.7;0.0289
19.725;0.0148
19.75;0.0635
19.775;0.0773
19.8;0.0674
19.825;0.0665
19.85;0.0768
19.875;0.1117
19.9;0.013
19.925;0.0831
19.95;0.0881
19.975;0.0889
20;0.0413
20.025;0.0499
20.05;0.0261
20.075;0.0317
20.1;0.0092
20.125;-0.0113
20.15;0.0037
20.175;-0.0048
20.2;-0.0438
20.225;-0.0827
20.25;-0.0522
20.275;-0.067
20.3;-0.0732
20.325;-0.1278
20.35;-0.0793
20.375;-0.1026
20.4;-0.0062
20.425;-0.1359
20.45;-0.0663
20.475;-0.0705
20.5;9e-04
20.525;-0.0853
20.55;-0.005
20.575;-0.0506
20.6;0.0294
20.625;0.0214
20.65;-0.0125
20.675;0.0562
20.7;0.0304
20.725;0.0484
20.75;0.0736
20.775;0.0457
