X-time;Y-g 
20.125;-0.2441
20.15;0.5035
20.175;-0.2764
20.2;-0.6016
20.225;0.4612
20.25;0.3766
20.275;-0.6982
20.3;0.015
20.325;0.1447
20.35;0.4786
20.375;0.0949
20.4;-1.0977
20.425;0.5573
20.45;0.2236
20.475;0.2064
20.5;0.0361
20.525;-0.6843
20.55;0.2252
20.575;0.5044
20.6;-0.3083
20.625;-0.2544
20.65;0.5197
20.675;0.1873
20.7;-0.6187
20.725;0.3281
20.75;0.4773
20.775;-0.8505
20.8;0.1256
20.825;0.8995
20.85;-0.8992
20.875;0.3444
20.9;-0.0463
20.925;0.0714
20.95;-0.4403
20.975;0.1125
21;0.6692
21.025;-0.7006
21.05;-0.1769
21.075;0.6867
21.1;0.123
21.125;-1.2223
21.15;0.1138
21.175;0.8878
21.2;0.0415
21.225;-0.3326
21.25;-0.6199
21.275;0.0997
21.3;0.5863
21.325;0.1359
21.35;-0.392
21.375;0.146
21.4;-0.3338
21.425;-0.229
21.45;0.7622
21.475;0.4487
21.5;-1.0313
21.525;-0.1453
21.55;0.7548
21.575;0.2362
21.6;-0.5162
21.625;0.1624
21.65;-0.0791
21.675;-0.5013
21.7;1.2977
21.725;-0.4597
21.75;-0.5158
21.775;0.5824
21.8;-0.0835
21.825;-0.7095
21.85;0.5035
21.875;0.7234
21.9;-0.6012
21.925;-0.6412
21.95;0.1392
21.975;1.1177
22;-0.7346
22.025;-0.4698
22.05;0.4653
22.075;-0.0373
22.1;0.1954
22.125;-0.6267
22.15;0.1811
22.175;0.4006
22.2;-0.4437
22.225;-0.0357
22.25;0.2879
22.275;-0.3243
22.3;-0.2883
22.325;0.6461
22.35;0.2658
22.375;-0.559
22.4;-0.3181
22.425;0.0782
22.45;0.6006
22.475;0.1213
22.5;-0.8131
22.525;0.6804
22.55;0.5131
22.575;-1.1028
22.6;-0.1146
22.625;1.0212
22.65;0.2258
22.675;-0.8276
22.7;-0.1132
22.725;0.2566
22.75;0.5867
22.775;-0.347
22.8;0.1151
22.825;-0.5645
22.85;0.4713
22.875;-0.0385
22.9;0.1875
22.925;-0.2699
22.95;-0.1652
22.975;0.1435
23;-0.0487
23.025;0.1766
23.05;-0.0346
23.075;-0.4925
23.1;0.3061
23.125;0.2883
23.15;-0.2927
23.175;-0.3154
23.2;0.2104
23.225;-0.2927
23.25;0.2018
23.275;0.2357
23.3;0.0399
23.325;-0.4029
23.35;-0.0986
23.375;0.617
23.4;-0.2672
23.425;-0.4297
23.45;0.02
23.475;0.9953
23.5;-0.2398
23.525;-0.5317
23.55;-0.4403
