X-time;Y-g
15.55;0.0342
15.575;0.0326
15.6;0.0021
15.625;-0.0335
15.65;-0.0242
15.675;0.0235
15.7;-0.034
15.725;-0.0282
15.75;-0.0846
15.775;-0.0073
15.8;-0.0505
15.825;-0.0691
15.85;-0.0239
15.875;-0.0555
15.9;-0.0394
15.925;-0.0271
15.95;-0.0638
15.975;-0.0164
16;-0.0296
16.025;-0.0073
16.05;0.0036
16.075;-0.023
16.1;-0.0076
16.125;0.034
16.15;0.0086
16.175;0.0403
16.2;-0.0154
16.225;0.0501
16.25;0.0305
16.275;0.0476
16.3;0.0594
16.325;0.0289
16.35;0.0377
16.375;0.0277
16.4;0.0652
16.425;0.0399
16.45;0.0445
16.475;-0.0137
16.5;0.0452
16.525;0.0427
16.55;-0.0045
16.575;0.0072
16.6;0.0341
16.625;-0.036
16.65;-0.0358
16.675;-0.0047
16.7;-0.0105
16.725;-0.0388
16.75;-0.0624
16.775;-0.0156
16.8;-0.0537
16.825;-0.0476
16.85;-0.0372
16.875;-0.0488
16.9;-0.035
16.925;-0.066
16.95;-0.0355
16.975;-0.0153
17;8e-04
17.025;-0.0571
17.05;0.0071
17.075;0
17.1;0.01
17.125;-0.0218
17.15;0.0273
17.175;0.0365
17.2;0.0147
17.225;9e-04
17.25;0.0641
17.275;0.0464
17.3;0.0538
17.325;0.0204
17.35;0.0605
17.375;0.0112
17.4;0.0594
17.425;0.0465
17.45;0.0399
17.475;0.0202
17.5;0.0425
17.525;0.0052
17.55;0.0286
17.575;0.0335
17.6;-0.0046
17.625;-0.0448
17.65;0.0117
17.675;-0.0296
17.7;-0.0214
17.725;-0.0332
17.75;-0.0558
17.775;-0.04
17.8;-0.0559
17.825;-0.0226
17.85;-0.0832
17.875;-0.0307
17.9;-0.0459
17.925;-0.0273
17.95;-0.036
17.975;-0.0248
18;-0.0584
18.025;-0.0022
18.05;0.02
18.075;0.0029
18.1;-0.0311
18.125;-0.0238
18.15;0.0205
18.175;0.0757
18.2;0.0366
18.225;0.0162
18.25;-0.03
18.275;0.0719
18.3;0.0419
18.325;0.0709
18.35;0.0342
18.375;0.0625
18.4;0.006
18.425;0.026
18.45;0.052
18.475;0.0595
18.5;0.0343
18.525;-0.0215
18.55;0.0304
18.575;0.0439
18.6;-0.0422
18.625;0.0177
18.65;0.0031
18.675;1e-04
18.7;-0.0884
18.725;-0.0178
18.75;-0.0271
18.775;-0.0257
18.8;-0.0849
18.825;-0.0316
18.85;-0.0409
18.875;-0.058
18.9;-0.0551
18.925;-0.0371
18.95;-0.0127
18.975;-0.0409
19;-0.0269
19.025;-0.0249
19.05;-0.008
19.075;0.0023
19.1;-0.0043
19.125;0.0212
19.15;0.0288
19.175;-0.0069
19.2;0.0301
19.225;0.0215
19.25;0.0379
19.275;0.0543
19.3;0.029
19.325;0.0461
19.35;0.0325
19.375;0.0563
19.4;0.04
19.425;0.0271
19.45;0.0703
19.475;0.0024
19.5;0.0274
19.525;0.0318
19.55;0.0194
19.575;-0.0031
19.6;0.0096
19.625;0.0174
19.65;-0.0366
19.675;-0.0309
19.7;-0.0213
19.725;4e-04
19.75;-0.0326
19.775;-0.0745
19.8;-0.0638
19.825;-0.0392
19.85;-0.0391
19.875;-0.0509
19.9;-0.0576
19.925;-0.0194
19.95;-0.0634
19.975;-0.0089
20;-0.0267
20.025;-0.023
20.05;3e-04
20.075;0.0189
20.1;-0.0453
20.125;0.0498
20.15;0.01
20.175;0.0284
20.2;0.0298
20.225;-0.0023
20.25;0.0367
20.275;0.0635
20.3;0.0494
20.325;0.0144
20.35;0.0478
20.375;0.026
20.4;0.0683
20.425;0.0242
20.45;0.0522
20.475;0.0134
20.5;0.0198
20.525;0.0487
20.55;0.0121
20.575;0.0038
20.6;0.0067
20.625;-0.0042
20.65;-0.0241
20.675;-0.0293
20.7;-0.0086
20.725;-0.0382
20.75;-0.041
20.775;-0.0307
20.8;-0.0506
20.825;-0.0542
20.85;-0.0635
20.875;-0.0458
20.9;-0.0157
20.925;-0.0561
20.95;-0.0243
20.975;-0.0784
21;0.0092
21.025;-0.0148
21.05;0.0086
21.075;-0.0195
21.1;0.0052
21.125;-0.0125
21.15;0.0339
21.175;0.0266
21.2;0.0495
21.225;8e-04
21.25;0.009
21.275;0.0732
21.3;0.049
21.325;0.011
21.35;0.0623
21.375;0.0757
21.4;0.0359
21.425;-0.0056
21.45;0.0534
21.475;0.0555
21.5;0.0402
21.525;-0.0144
21.55;0.0085
21.575;0.0214
21.6;0.0164
21.625;-0.0376
21.65;0.0027
21.675;-0.0148
21.7;-0.0344
21.725;-0.0376
21.75;-0.0587
21.775;-0.0165
21.8;-0.0693
21.825;-0.029
21.85;-0.0673
21.875;-0.0461
21.9;-0.0567
21.925;-0.0287
21.95;-0.0035
21.975;-0.0362
22;-0.0259
22.025;-0.0365
22.05;-0.0089
22.075;0.0257
22.1;0.0188
22.125;-0.0264
22.15;1e-04
22.175;0.0512
22.2;0.0371
22.225;0.0424
22.25;0
22.275;0.032
22.3;0.0737
22.325;0.0243
22.35;0.0438
22.375;0.0312
22.4;0.0633
22.425;0.0428
22.45;2e-04
22.475;0.0536
22.5;0.0318
22.525;0.002
22.55;0.0105
22.575;0.0167
22.6;0.0169
22.625;-0.0104
22.65;-0.0269
22.675;-0.0184
22.7;-0.0496
22.725;0.0085
22.75;-0.0497
22.775;-0.0305
22.8;-0.0941
22.825;-0.0238
22.85;-0.0421
22.875;-0.022
22.9;-0.0509
22.925;-0.0735
22.95;-0.0042
22.975;-0.0209
23;-0.0486
23.025;-0.0315
23.05;0.0522
23.075;-0.0191
23.1;-0.0064
23.125;-0.0319
23.15;0.0489
23.175;0.034
23.2;0.0166
23.225;0.0401
23.25;0.0022
23.275;0.0384
23.3;0.0668
23.325;0.0284
23.35;0.0714
23.375;0.0314
23.4;0.0191
23.425;0.0366
23.45;0.071
23.475;-0.0097
23.5;0.0489
23.525;0.0305
23.55;0.0127
23.575;-0.0297
23.6;0.0191
23.625;0.0184
23.65;-0.0223
23.675;-0.0195
23.7;-0.0344
23.725;-0.0699
23.75;-0.0206
23.775;-0.0213
23.8;-0.0549
23.825;-0.0565
23.85;-0.0402
23.875;-0.063
23.9;-0.0106
23.925;-0.0357
23.95;-0.0456
23.975;-0.0386
24;-0.0125
24.025;-0.0039
24.05;-0.0371
24.075;-8e-04
24.1;0.0491
24.125;-0.027
24.15;0.0134
24.175;0.0432
24.2;0.0168
24.225;0.0108
24.25;0.0561
24.275;0.0487
24.3;1e-04
24.325;0.0292
24.35;0.0871
24.375;0.0287
24.4;0.0208
24.425;0.0524
24.45;0.033
24.475;0.011
24.5;0.0458
24.525;0.0436
24.55;-0.022
24.575;0.0423
24.6;-0.0069
24.625;8e-04
24.65;-0.0243
24.675;-0.0138
24.7;-0.006
24.725;-0.059
24.75;-0.0407
24.775;-0.0577
24.8;-0.0218
24.825;-0.0301
24.85;-0.0707
24.875;-0.044
24.9;-0.0403
24.925;-0.0222
24.95;-0.0217
24.975;-0.0614
25;-0.0362
25.025;-0.0032
25.05;-0.0132
25.075;0.0117
25.1;-0.0173
25.125;0.0142
25.15;0.0101
25.175;0.0396
25.2;0.0055
25.225;0.0443
25.25;0.0239
25.275;0.0307
25.3;0.049
25.325;0.0268
25.35;0.0543
25.375;0.0842
25.4;0.0142
25.425;0.019
25.45;0.0462
25.475;0.0435
25.5;0.0251
25.525;0.0132
25.55;0.0197
25.575;0.0283
